"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 13 Garscadden-Scotstounhill",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"BOX 282","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","113","60","102","14","4","2","0","0","1","0","0","0","0"
"John CORMACK","18","12","5","4","1","0","0","1","0","0","1","1","1"
"Iain CUMMING","1","5","11","5","1","1","0","0","1","1","0","1","1"
"Graeme Andrew HENDRY","182","42","16","15","7","3","0","0","0","0","1","0","0"
"Phil JARVIS","5","17","11","10","5","1","0","2","2","0","0","0","1"
"John KELLY","78","52","40","12","8","5","2","1","0","0","0","0","0"
"Susan Marion MCCOURT","18","11","14","8","5","0","0","0","0","1","3","0","1"
"Mark MUIR","3","6","1","7","2","3","3","1","0","1","0","2","0"
"Paul ROONEY","13","94","61","26","6","5","1","1","0","0","0","0","0"
"Martin SCHMIERER","49","20","58","29","12","5","4","0","0","0","0","0","0"
"James Douglas SPEIRS","12","19","20","15","6","5","0","1","1","0","0","0","1"
"Ryan STUART","1","6","6","5","3","0","2","0","1","2","0","0","0"
"Donald T WILSON","9","133","37","15","12","2","2","1","0","0","0","1","0"
"TOTAL POSTAL GARSCADDEN/SCOTSTOUNHILL","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","637","362","370","35","10","7","1","3","2","1","0","3","0"
"John CORMACK","29","27","18","30","10","4","7","8","5","13","7","9","8"
"Iain CUMMING","14","26","32","20","13","8","9","4","10","2","11","4","6"
"Graeme Andrew HENDRY","356","162","56","40","17","9","5","2","3","2","6","5","3"
"Phil JARVIS","17","23","70","31","12","15","10","11","8","6","7","4","4"
"John KELLY","66","482","437","43","26","9","8","6","1","2","3","0","0"
"Susan Marion MCCOURT","63","20","29","14","10","4","6","7","11","4","6","8","14"
"Mark MUIR","7","11","23","31","12","8","8","13","11","6","3","5","5"
"Paul ROONEY","643","305","305","49","17","9","4","1","0","4","1","0","1"
"Martin SCHMIERER","25","29","88","50","19","17","13","7","5","7","8","5","2"
"James Douglas SPEIRS","17","37","32","27","12","20","7","8","7","7","9","4","2"
"Ryan STUART","3","8","12","20","10","4","11","10","7","11","6","13","5"
"Donald T WILSON","88","294","73","42","25","6","4","1","4","3","0","6","12"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,

